location,week_day,date_all,date_day,date_month,date_year,date_hour,date_minut,video_original_file_name,mapping_key,video_file_name
valby,sunday,13-02-2022 13:37,13,2,2022,13,37,FILE0234,Valby_13-02-2022/FILE0234.MP4,valby_13-02-2022_13.37_FILE0234.MP4
valby,sunday,13-02-2022 13:45,13,2,2022,13,45,FILE0235,Valby_13-02-2022/FILE0235.MP4,valby_13-02-2022_13.45_FILE0235.MP4
valby,sunday,13-02-2022 13:53,13,2,2022,13,53,FILE0236,Valby_13-02-2022/FILE0236.MP4,valby_13-02-2022_13.53_FILE0236.MP4
valby,sunday,13-02-2022 14:01,13,2,2022,14,1,FILE0237,Valby_13-02-2022/FILE0237.MP4,valby_13-02-2022_14.01_FILE0237.MP4
valby,sunday,13-02-2022 14:09,13,2,2022,14,9,FILE0238,Valby_13-02-2022/FILE0238.MP4,valby_13-02-2022_14.09_FILE0238.MP4
valby,sunday,13-02-2022 14:17,13,2,2022,14,17,FILE0239,Valby_13-02-2022/FILE0239.MP4,valby_13-02-2022_14.17_FILE0239.MP4
valby,sunday,13-02-2022 14:25,13,2,2022,14,25,FILE0240,Valby_13-02-2022/FILE0240.MP4,valby_13-02-2022_14.25_FILE0240.MP4
valby,sunday,13-02-2022 14:33,13,2,2022,14,33,FILE0241,Valby_13-02-2022/FILE0241.MP4,valby_13-02-2022_14.33_FILE0241.MP4
valby,sunday,13-02-2022 14:41,13,2,2022,14,41,FILE0242,Valby_13-02-2022/FILE0242.MP4,valby_13-02-2022_14.41_FILE0242.MP4
valby,sunday,13-02-2022 14:49,13,2,2022,14,49,FILE0243,Valby_13-02-2022/FILE0243.MP4,valby_13-02-2022_14.49_FILE0243.MP4
valby,sunday,13-02-2022 14:57,13,2,2022,14,57,FILE0244,Valby_13-02-2022/FILE0244.MP4,valby_13-02-2022_14.57_FILE0244.MP4
valby,sunday,13-02-2022 15:05,13,2,2022,15,5,FILE0245,Valby_13-02-2022/FILE0245.MP4,valby_13-02-2022_15.05_FILE0245.MP4
valby,sunday,13-02-2022 15:13,13,2,2022,15,13,FILE0246,Valby_13-02-2022/FILE0246.MP4,valby_13-02-2022_15.13_FILE0246.MP4
valby,sunday,13-02-2022 15:21,13,2,2022,15,21,FILE0247,Valby_13-02-2022/FILE0247.MP4,valby_13-02-2022_15.21_FILE0247.MP4
valby,sunday,13-02-2022 15:29,13,2,2022,15,29,FILE0248,Valby_13-02-2022/FILE0248.MP4,valby_13-02-2022_15.29_FILE0248.MP4
valby,sunday,13-02-2022 15:37,13,2,2022,15,37,FILE0249,Valby_13-02-2022/FILE0249.MP4,valby_13-02-2022_15.37_FILE0249.MP4
valby,sunday,13-02-2022 15:45,13,2,2022,15,45,FILE0250,Valby_13-02-2022/FILE0250.MP4,valby_13-02-2022_15.45_FILE0250.MP4
valby,sunday,13-02-2022 15:53,13,2,2022,15,53,FILE0251,Valby_13-02-2022/FILE0251.MP4,valby_13-02-2022_15.53_FILE0251.MP4
valby,sunday,13-02-2022 16:01,13,2,2022,16,1,FILE0252,Valby_13-02-2022/FILE0252.MP4,valby_13-02-2022_16.01_FILE0252.MP4
valby,sunday,13-02-2022 16:09,13,2,2022,16,9,FILE0253,Valby_13-02-2022/FILE0253.MP4,valby_13-02-2022_16.09_FILE0253.MP4
valby,sunday,13-02-2022 16:17,13,2,2022,16,17,FILE0254,Valby_13-02-2022/FILE0254.MP4,valby_13-02-2022_16.17_FILE0254.MP4
valby,sunday,13-02-2022 16:25,13,2,2022,16,25,FILE0255,Valby_13-02-2022/FILE0255.MP4,valby_13-02-2022_16.25_FILE0255.MP4
valby,sunday,13-02-2022 16:33,13,2,2022,16,33,FILE0256,Valby_13-02-2022/FILE0256.MP4,valby_13-02-2022_16.33_FILE0256.MP4
valby,sunday,13-02-2022 16:41,13,2,2022,16,41,FILE0257,Valby_13-02-2022/FILE0257.MP4,valby_13-02-2022_16.41_FILE0257.MP4
valby,sunday,13-02-2022 16:49,13,2,2022,16,49,FILE0258,Valby_13-02-2022/FILE0258.MP4,valby_13-02-2022_16.49_FILE0258.MP4
valby,sunday,13-02-2022 16:57,13,2,2022,16,57,FILE0259,Valby_13-02-2022/FILE0259.MP4,valby_13-02-2022_16.57_FILE0259.MP4
valby,sunday,13-02-2022 17:05,13,2,2022,17,5,FILE0260,Valby_13-02-2022/FILE0260.MP4,valby_13-02-2022_17.05_FILE0260.MP4
valby,sunday,13-02-2022 17:13,13,2,2022,17,13,FILE0261,Valby_13-02-2022/FILE0261.MP4,valby_13-02-2022_17.13_FILE0261.MP4
valby,sunday,13-02-2022 17:21,13,2,2022,17,21,FILE0262,Valby_13-02-2022/FILE0262.MP4,valby_13-02-2022_17.21_FILE0262.MP4
valby,sunday,13-02-2022 17:29,13,2,2022,17,29,FILE0263,Valby_13-02-2022/FILE0263.MP4,valby_13-02-2022_17.29_FILE0263.MP4
valby,sunday,13-02-2022 17:37,13,2,2022,17,37,FILE0264,Valby_13-02-2022/FILE0264.MP4,valby_13-02-2022_17.37_FILE0264.MP4
valby,monday,13-12-2021 08:12,13,12,2021,8,12,FILE0012,Valby_13-12-2021/FILE0012.MP4,valby_13-12-2021_08.12_FILE0012.MP4
valby,monday,13-12-2021 08:20,13,12,2021,8,20,FILE0013,Valby_13-12-2021/FILE0013.MP4,valby_13-12-2021_08.20_FILE0013.MP4
valby,monday,13-12-2021 08:28,13,12,2021,8,28,FILE0014,Valby_13-12-2021/FILE0014.MP4,valby_13-12-2021_08.28_FILE0014.MP4
valby,monday,13-12-2021 08:36,13,12,2021,8,36,FILE0015,Valby_13-12-2021/FILE0015.MP4,valby_13-12-2021_08.36_FILE0015.MP4
valby,monday,13-12-2021 08:44,13,12,2021,8,44,FILE0016,Valby_13-12-2021/FILE0016.MP4,valby_13-12-2021_08.44_FILE0016.MP4
valby,monday,13-12-2021 08:52,13,12,2021,8,52,FILE0017,Valby_13-12-2021/FILE0017.MP4,valby_13-12-2021_08.52_FILE0017.MP4
valby,monday,13-12-2021 09:00,13,12,2021,9,0,FILE0018,Valby_13-12-2021/FILE0018.MP4,valby_13-12-2021_09.00_FILE0018.MP4
valby,monday,13-12-2021 09:08,13,12,2021,9,8,FILE0019,Valby_13-12-2021/FILE0019.MP4,valby_13-12-2021_09.08_FILE0019.MP4
valby,monday,13-12-2021 09:16,13,12,2021,9,16,FILE0020,Valby_13-12-2021/FILE0020.MP4,valby_13-12-2021_09.16_FILE0020.MP4
valby,monday,13-12-2021 09:24,13,12,2021,9,24,FILE0021,Valby_13-12-2021/FILE0021.MP4,valby_13-12-2021_09.24_FILE0021.MP4
valby,monday,13-12-2021 09:32,13,12,2021,9,32,FILE0022,Valby_13-12-2021/FILE0022.MP4,valby_13-12-2021_09.32_FILE0022.MP4
valby,monday,13-12-2021 09:40,13,12,2021,9,40,FILE0023,Valby_13-12-2021/FILE0023.MP4,valby_13-12-2021_09.40_FILE0023.MP4
valby,monday,13-12-2021 09:48,13,12,2021,9,48,FILE0024,Valby_13-12-2021/FILE0024.MP4,valby_13-12-2021_09.48_FILE0024.MP4
valby,monday,13-12-2021 09:56,13,12,2021,9,56,FILE0025,Valby_13-12-2021/FILE0025.MP4,valby_13-12-2021_09.56_FILE0025.MP4
valby,monday,13-12-2021 10:04,13,12,2021,10,4,FILE0026,Valby_13-12-2021/FILE0026.MP4,valby_13-12-2021_10.04_FILE0026.MP4
valby,monday,13-12-2021 10:12,13,12,2021,10,12,FILE0027,Valby_13-12-2021/FILE0027.MP4,valby_13-12-2021_10.12_FILE0027.MP4
valby,monday,13-12-2021 10:20,13,12,2021,10,20,FILE0028,Valby_13-12-2021/FILE0028.MP4,valby_13-12-2021_10.20_FILE0028.MP4
valby,monday,13-12-2021 10:28,13,12,2021,10,28,FILE0029,Valby_13-12-2021/FILE0029.MP4,valby_13-12-2021_10.28_FILE0029.MP4
valby,monday,13-12-2021 10:36,13,12,2021,10,36,FILE0030,Valby_13-12-2021/FILE0030.MP4,valby_13-12-2021_10.36_FILE0030.MP4
valby,monday,13-12-2021 10:44,13,12,2021,10,44,FILE0031,Valby_13-12-2021/FILE0031.MP4,valby_13-12-2021_10.44_FILE0031.MP4
valby,monday,13-12-2021 10:52,13,12,2021,10,52,FILE0032,Valby_13-12-2021/FILE0032.MP4,valby_13-12-2021_10.52_FILE0032.MP4
valby,monday,13-12-2021 11:00,13,12,2021,11,0,FILE0033,Valby_13-12-2021/FILE0033.MP4,valby_13-12-2021_11.00_FILE0033.MP4
valby,monday,13-12-2021 11:08,13,12,2021,11,8,FILE0034,Valby_13-12-2021/FILE0034.MP4,valby_13-12-2021_11.08_FILE0034.MP4
valby,monday,13-12-2021 11:16,13,12,2021,11,16,FILE0035,Valby_13-12-2021/FILE0035.MP4,valby_13-12-2021_11.16_FILE0035.MP4
valby,monday,13-12-2021 11:24,13,12,2021,11,24,FILE0036,Valby_13-12-2021/FILE0036.MP4,valby_13-12-2021_11.24_FILE0036.MP4
valby,monday,13-12-2021 11:32,13,12,2021,11,32,FILE0037,Valby_13-12-2021/FILE0037.MP4,valby_13-12-2021_11.32_FILE0037.MP4
valby,monday,13-12-2021 11:40,13,12,2021,11,40,FILE0038,Valby_13-12-2021/FILE0038.MP4,valby_13-12-2021_11.40_FILE0038.MP4
valby,monday,13-12-2021 11:48,13,12,2021,11,48,FILE0039,Valby_13-12-2021/FILE0039.MP4,valby_13-12-2021_11.48_FILE0039.MP4
valby,monday,13-12-2021 11:56,13,12,2021,11,56,FILE0040,Valby_13-12-2021/FILE0040.MP4,valby_13-12-2021_11.56_FILE0040.MP4
valby,monday,13-12-2021 12:04,13,12,2021,12,4,FILE0041,Valby_13-12-2021/FILE0041.MP4,valby_13-12-2021_12.04_FILE0041.MP4
